,Q13554,P06396,P84157,Q5QJE6,P09669,Q12974,P62314,P08697,P61769,O00244,Q13753,Q9Y3D3,Q7Z698,C4AMC7,P02768,Q7RTV0,Q71UM5,Q96CN9,P04259,Q9NV88,P07996,O95985,P08670,Q9H939,Q96RF0,Q9H8Y8,Q8N4V1,O00622,Q99808,P10636,P00846,Q14320,P19823,P07305,P02751,Q9NVH2,Q99538,Q13751,Q7Z7M9,O75529,P46782,Q8IVB5,Q15061,P42766,Q9NQ29,P36543,P0DPD7,P04040,P13611,P29966,Q9BQ69,Q13277,P0C0S5,Q07666,Q9Y3A4,P28347,Q9UKI8,Q99707,Q6BDS2,O75170,P19474,Q15063,Q15041,Q99720,P16949,Q8IWB9,P00734,P62266,P12259,Q9HBH0,Q8N302,O95478,P39060,Q96QD8,Q96C90,Q9H3K6,P47914,P02649,P23142,Q02878,Q01130,O95881,Q9Y5J9,Q00765,P48200,Q9NS69,P16152,Q8WU90,Q16787,Q9UJX4,Q96SZ5,O15297,P63313,P62834,P0C0L5,Q96R05,Q9NUQ9,O95218,P35613,Q9H5I1,Q96F07,P82673,P11387,P32929,Q6ZMP0,P14317,Q5THK1,Q96J84,O15127,P62899,Q96GC9,P01008,P25490,Q5TAQ9,P18065,P04818,P62306,Q8TCC3,Q9UGN5,P62861,Q7L4I2,Q96GX9,Q15555,O75037,Q6PGP7,P53803,Q9BV23,Q8WUM9,Q969Q0,O75151,Q9Y2Z2,Q9Y6R0,Q16778,Q969M3,P26358,P62273,Q6P5R6,P27338,Q9Y324,P27816,P61024,O75935,P05362,Q13889,P49585,O15235,Q9NPD3,P00918,P35625,P35754,P50579,Q15751,Q9BW04,P00403,Q6UXI9,P04114,Q6EEV6,P61077,P25054,Q9H9H4,Q9ULC3,P17405,P21291,Q13214,Q9ULR3,P69905,Q96HR9,P14854,P68871,Q99988,O15230,Q5TZA2,P52943,P25440,P46779,Q9Y5A9,Q9H6U8,Q9Y2V2,Q8TD43,Q02218,P01023,Q9Y2R0,P12109,P01024,Q16774,Q96FQ6,P61513,Q9UQN3,Q15388,Q7Z7F7,O95182,P06454,Q8WW12,aP00846,aP26358,aP27338,aP10636,aQ99707,aQ02218,aQ99720,aP11387,aP17405,aP49585,aQ5QJE6,aP27816,aO95985,aP25440,aP00918,aP04818,aQ8TD43,aP61024,aP36543,aP04040,Cell_viability%_(cck8Drug-blk)/(control-blk)*100
0,0.026617302,-0.012078509,-0.0726483,-0.015837329,-0.062759265,-0.12205822,0.12718946,-0.20734783,-0.063416526,0.10781571,-0.033545673,-0.012805154,-0.015323478,-0.06602278,-0.1747987,-0.041469898,0.020723572,0.039458685,0.0064105997,-0.0007854161,-0.053084977,-0.048355646,-0.03626876,0.011004404,-0.02478044,0.12976803,-0.13019699,0.01047874,0.077467956,0.009939566,-0.029503908,-0.09869963,-0.27289903,0.08920725,-0.086937256,0.136961,-0.036432445,-0.00444817,-0.20091087,0.012200744,0.009909112,0.027263436,0.07843473,0.046547323,0.039644763,-0.04647191,0.060429014,-0.024348477,-0.021419138,-0.074748196,-0.0010929408,0.10217061,0.10016708,-0.13414003,0.06493938,-0.020900508,0.015111058,-0.000847237,0.039424296,-0.046787865,-0.012048578,-0.12174578,-0.01825768,0.0011156534,0.009052373,0.022940133,-0.006749993,-0.065129004,-0.027941536,-0.07534246,-0.007274745,0.013750017,-0.031692576,-0.09909507,-0.07826028,0.046071637,-0.02868619,0.050315045,-0.18852751,0.011865264,0.158343,0.037290674,0.0011272585,0.1421994,-0.017784309,0.028920844,0.027440602,-0.038974714,0.028714597,0.080966495,-0.019256815,0.0048897993,-0.043927744,-0.07718033,-0.080886014,-0.088210724,0.044896424,-0.0035241856,0.09076083,0.015887598,-0.00586014,0.034702342,-0.01082465,0.025030611,-0.0051413635,-0.020519147,0.054299306,0.033402078,0.064720236,0.0007605523,0.0010383138,-0.07664617,-0.0476928,0.050183788,-0.032341614,-0.020593239,-0.14156583,0.013811718,0.0837658,0.068775825,-0.042102836,-0.026328415,-0.03594434,-0.040271148,-0.021241274,-0.030746402,-0.06956659,0.01870739,0.08303986,0.028536024,-0.014188232,0.03715406,0.09699983,-0.04496434,0.002490367,0.08494084,0.0023837406,-0.012188473,0.060251303,0.003243481,-0.03503692,0.03407221,0.030252669,0.04839247,-0.00456477,0.009219276,0.17510381,-0.024854317,0.028977275,0.10688438,-0.13995068,-0.007129971,0.0010688788,-0.0056575323,0.0398152,-0.12023976,-0.02625134,-0.10358615,0.003626889,0.043265868,0.053490557,-0.069732465,0.0043430026,-0.042686906,-0.048319794,-0.031652145,0.034086872,0.07128705,-0.072783075,-0.0033866442,-0.10704081,0.022334998,0.11549911,-0.03301076,0.11281562,-0.052372165,0.044643033,-0.026325969,-0.017063094,0.00084046973,-0.31353924,0.045364287,-0.09216099,-0.21944436,0.061376046,0.015774822,0.03277369,0.13423869,0.02321339,-0.12709868,0.02043561,0.11047001,-0.005049473,0.0,0.0,-0.012188473,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.1526142
1,-0.037118778,-0.0047630025,-0.023067137,0.0047160354,0.018137408,0.0,0.027584383,-0.21161126,-0.018900255,0.08719867,0.00077180006,0.007980678,-0.03698277,-0.01726916,-0.23663843,-0.0032190476,0.008996757,-0.01914456,-0.010495912,0.028784709,-0.047754575,-0.024821626,-0.02595975,-0.06666318,-0.0011538427,0.0402481,-0.030553456,0.010907578,-0.06422092,-0.015341014,-0.0011914661,-0.021663086,-0.27472794,-0.023598135,-0.064350694,0.023733636,-0.020616079,-0.0017536784,-0.16521741,-0.0037808716,-0.0042466084,0.04794517,0.034767646,0.012150499,-0.025386792,-0.044955444,0.038514104,-0.0059522847,-0.0037719305,0.014590823,0.04479725,0.040561035,0.025295347,-0.03555546,0.01760278,-0.026671428,0.047029007,-0.007910699,-0.035012778,-0.14701526,0.022627382,-0.056067705,0.0010651671,0.00856412,-0.04324745,-0.031464413,0.0026562924,-0.07439597,-0.002858161,0.0056663384,-0.04329625,-0.00028051637,-0.024629114,0.022942053,-0.007509408,-0.010374693,0.04498003,-0.056771286,-0.19004634,-0.016300844,-0.071690194,-0.032771695,-0.005380202,-0.038997836,-0.0013556142,-0.030690107,0.028159864,-0.01865031,0.03724386,-0.0034783958,-0.0035494273,0.021585988,-0.02610801,-0.0715174,-0.14694262,-0.008711804,-0.0023273195,0.086273156,-0.000117955184,0.028445112,0.0027953675,-0.03710687,-0.0047426084,0.01247487,0.031796884,0.015654998,-0.00013831582,0.081165336,0.006010956,-0.08935849,-0.021841587,-0.066130795,-0.10471261,-0.04831057,-0.009315592,0.0007872711,-0.021184074,0.011209818,0.010077761,0.001603873,-0.011962384,-0.009528377,-0.019798625,0.0002635516,-0.008226103,-0.047584623,-0.037250847,0.022345647,-0.046140265,0.007879444,-0.022049118,-0.00975384,-0.016052142,-0.041101746,-0.003581383,-0.03941888,-0.011248348,-0.002531266,0.09778841,-0.0025215477,-0.012593244,-0.0128376335,0.025349326,-0.005146232,-0.00015856032,-0.015922368,-0.09315601,-0.04198812,0.022570051,0.0433359,-0.01547187,0.003687736,-0.055981636,0.0032048929,0.0058804727,-0.14694849,0.03029724,0.0035653417,0.013103091,-0.02385182,0.042764492,-0.011254504,-0.006445629,0.0004847829,0.022036748,-0.024461376,-0.0017799437,0.026134547,-0.07462398,0.013550653,-0.016296376,-0.00095908646,0.03905287,-0.0059636002,-0.033754356,-0.26222906,0.010777616,-0.040244147,-0.031491134,0.0124491,-0.27495384,-0.02615795,-0.05956487,-0.20865573,0.05129019,-0.022475773,-0.008292236,0.2308055,-0.001666197,0.017864153,0.00084032153,-0.007824875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.024821626,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.48194802
2,0.032789197,-0.014404174,-0.038549904,0.0,-0.052092705,-0.012292939,0.105926834,0.010488118,-0.05973327,0.112749346,-0.05916243,-0.05366941,-0.006609252,-0.037040927,0.031679854,-0.017126199,-0.06472193,0.052061412,0.035580028,-0.0007854161,-0.03851369,-0.04356356,-0.0411969,-0.0080123935,-0.011580867,0.05944364,-0.11751286,0.024183443,0.076381594,-0.059617855,-0.021264857,-0.029720172,-0.030860567,0.04910843,-0.028750498,0.14351067,-0.020010857,-0.019771647,0.006495496,0.019163765,-0.0067091337,0.0031165965,0.07591181,-0.015263272,0.050144944,-0.055790495,0.049749434,-0.017236924,-0.016153893,-0.004850495,-0.06604362,0.07797651,0.09945478,-0.0199194,0.06035504,-0.04152734,0.00665091,0.00808754,0.054268498,-0.038696382,-0.008075424,-0.05431699,-0.04087198,-0.006994999,0.045012116,0.009584552,0.012956332,-0.094740726,0.0051826555,-0.07935241,-0.012501307,0.022665594,-0.03832725,-0.097827755,-0.11415469,0.07871574,0.028710116,0.039887648,-0.0146627035,0.0051079933,0.16114573,0.030330276,-0.0011425838,0.06507766,-0.0044396,0.04033862,0.01850963,-0.013452775,0.0035936395,0.08799407,-0.03219746,0.0013629895,-0.045760658,-0.11014381,-0.01156868,-0.06321358,0.024289522,0.0132602,0.098341756,0.014824501,0.017732108,0.028444119,-0.01030004,0.011888312,-0.027656076,-0.011966114,0.05340458,0.047897246,0.06889607,-0.0019363645,0.0099184085,-0.009808705,-0.024524016,0.04464151,0.045327507,-0.022627419,-0.0713944,0.048396435,0.079820424,0.07926073,-0.013081288,-0.037462723,0.00074289175,-0.07506032,-0.018843627,-0.02972523,-0.07551685,0.0295324,0.06671636,0.020092728,-0.047950353,-0.029544229,0.018876117,-0.023211787,0.00905089,-0.004575325,-0.0032942544,-0.022524053,0.09324513,-0.0025215477,-0.02643698,0.03775713,0.0026251783,0.028049346,-0.011712189,0.10096815,0.1480612,-0.040888518,0.041756656,0.1051484,-0.08943264,-0.01681866,0.014246323,-0.024132151,0.06397773,-0.01744924,-0.059233338,-0.090284064,0.0021924826,0.019300766,0.099475086,-0.033346403,0.027797904,-0.030713286,-0.040472258,0.017284911,-0.029412193,0.082604155,-0.015308073,-0.000511566,-0.036645263,0.034810163,0.062025532,-0.03527292,0.13297834,-0.01201617,0.03532928,-0.018117495,-0.009704497,-0.0019220181,-0.035432372,0.03902188,-0.03615796,0.0033077183,0.05304848,0.05441933,0.038292047,0.12529461,-0.06636219,-0.09203134,0.0016730266,0.046731967,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.055790495,0.0,-0.39923698
3,-0.036564272,-0.0026880808,-0.0024210915,0.0019717917,0.012443306,0.002350434,0.019256858,-0.20569669,5.027727e-05,0.08005666,-0.023618715,0.013484805,-0.032362986,-0.06549166,-0.22219642,0.016438317,-0.014128959,-0.0028254453,-0.0024253784,0.034925938,-0.045153778,-0.04090304,-0.03758697,0.00044083456,0.003931094,0.044148613,-0.035672434,0.017299239,-0.042552527,-0.012062117,-0.01298922,0.0016028364,-0.27547035,-0.018714663,-0.07794124,0.014998952,0.004280539,-0.005825133,-0.16662998,-0.026917595,-0.011610843,0.009053225,-0.03754097,-0.010601434,-0.02340451,-0.038983017,0.010015311,-0.002241131,0.012959719,-0.004024919,0.0131588215,0.008874423,0.005339509,-0.028738122,0.02053935,0.007923027,0.049928453,-0.0025653546,-0.017233146,-0.15765528,0.012780173,-0.08747004,-0.00925441,-0.014128557,-0.04865305,-0.07031377,0.0042097443,-0.059372295,-0.017029779,0.027180918,-0.019315649,-0.023936134,-0.05209324,-0.016440108,0.002923213,-0.011043496,0.015757004,-0.06626391,-0.21600518,-0.017944524,0.023801725,-0.015211455,0.009053657,0.06327703,0.024263903,-0.00030860395,0.012397031,-0.03437181,0.03288881,0.005976813,-0.00058234285,0.0044569834,-0.007403157,-0.030750927,-0.12055817,-0.015076092,0.005464135,0.09491409,0.0034830433,0.0081842,0.010821689,-0.03171197,-0.03372876,0.012474671,0.02279112,0.0077482876,-0.015739387,0.05241367,-0.03993189,-0.07700038,-0.05930842,-0.0627713,-0.10144068,-0.05640256,0.0059325728,0.010611098,-0.12796292,-0.07847675,-0.012441195,-0.0021890805,-0.003924571,-0.0056036636,-0.06346843,-0.058559462,-0.0059025935,-0.011349719,-0.048190147,-0.0044686785,0.013924643,-0.0007523428,-0.03385983,-0.0036945227,-0.05303764,-0.05233541,-0.02245636,-0.030720446,-0.013766235,-3.2389075e-08,0.07539736,-0.0038121233,-0.016559066,-0.009185965,0.04593066,-0.040034425,0.0071626133,0.0021554995,-0.027345637,-0.043101188,0.007922151,0.024028556,-0.017323263,-0.0028307894,0.0033003287,-0.019786647,0.03478042,-0.17101519,-0.0023377957,0.0018024012,0.019334044,-0.005792813,-0.0038922122,-0.0041219783,-0.020855147,-0.0010299368,1.2106388e-07,-0.022044351,-0.023959847,0.034071654,-0.07098473,0.0034910506,-0.018367348,0.006868737,-0.017734831,-0.0048507797,-0.0906021,-0.24440634,-0.04517361,-0.022900244,-0.027903674,0.00938616,-0.2787489,-0.026157906,-0.061519653,-0.20823221,0.03590375,-0.006905033,-0.015689505,0.09243007,-0.024428792,-0.010653083,0.011140065,-0.05024106,-0.005049411,0.0,-0.02245636,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1831041
4,0.014441613,0.0045044683,-0.089603245,0.0057904725,-0.03294846,-0.010942755,0.1398214,-0.22077695,-0.070116535,0.11274951,-0.043213293,-0.098711796,-0.018604029,-0.064497076,0.009853706,-0.108366854,-0.049919482,0.04774704,0.03507748,0.00077835436,-0.023971608,-0.08671431,0.028402496,0.018042495,-0.007146617,0.08143361,-0.11403349,-0.015252101,0.12458965,-0.06924364,-0.028149711,0.020958692,-0.012348098,0.0861536,-0.059271477,0.16680753,-0.045452416,-0.016602188,-0.22178191,0.0223005,0.012495347,0.013725839,0.095075816,0.07387259,0.036562942,-0.032811724,0.060429048,-0.015281164,0.0027350658,0.045937773,0.0032059406,0.06233636,0.040732734,-0.023313373,0.05482696,-0.16098234,-0.010077187,-0.007910603,0.050240375,-0.012536906,-0.028229127,-0.057182916,-0.035937726,-0.013693274,0.06731997,0.059625883,-0.009734546,-0.059372295,-0.0067203436,-0.07149857,-0.018646618,0.06211998,-0.029877609,-0.12652901,-0.1112229,0.123703554,-0.016346518,0.07407586,-0.0064992327,0.025601156,0.13755777,0.081950806,0.010476466,0.07061151,0.009308196,0.060448214,0.012900169,0.027514424,0.038275335,0.08202364,-0.014400102,-0.0066811326,-0.035338424,-0.12874325,-0.025758438,-0.082047716,0.026939007,0.0050461222,0.123825364,0.03193432,0.00042984434,0.0695147,-0.010300046,0.019777367,0.013707275,-0.032440603,0.04196674,0.026935194,0.07464841,0.008739413,0.05899053,-0.015884237,0.0060295835,0.09896501,-0.023130022,-0.024259588,-0.0831016,0.040897455,0.08246895,0.08796446,0.025233323,-0.016299533,0.017013017,-0.08093533,-0.024704006,-0.04162945,-0.0794205,0.036598235,0.10389431,0.038505066,-0.044853214,-0.04472204,0.09097604,-0.0566888,0.0077783475,0.006126436,0.00026849445,-0.018075824,0.12630537,0.009364228,-0.046274446,0.025725465,0.04193113,0.034155913,-0.007285172,0.007792515,0.17510405,0.0041188686,0.036610175,0.11719209,-0.054068685,-0.009527882,0.00836405,-0.015480386,0.025152566,-0.0013613485,-0.038160287,-0.08247409,-0.015196173,0.05515584,0.09947494,-0.03291238,0.03102292,-0.044759892,-0.052759472,-0.01608801,0.0011687439,0.07900693,-0.036829125,-0.0015450803,-0.0528965,0.04882987,0.110714495,-0.03996489,0.14756703,-0.02531947,0.020366285,0.011764261,-3.7349284e-05,-0.0005296033,-0.007170512,0.04850376,-0.0376655,0.03546112,0.05304852,0.13178478,0.036416076,0.11220744,-0.03706402,-0.15308733,0.000840099,0.05741122,-0.011164511,-0.028149711,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0059454944
5,-0.047711402,-0.00689128,0.013628953,-0.0037812912,0.010491387,-0.1411967,-0.0066319415,-0.19823408,0.0056905425,0.14786375,-0.017847644,0.0074619697,-0.046209186,-0.0010281709,-0.20010085,0.008805583,-0.004854345,0.009192666,0.0072876527,0.03106484,-0.044820577,-0.013491156,-0.02065592,-0.049366288,-0.0053084916,0.032699876,0.00044775405,0.023072971,-0.082725905,0.013840388,-0.043631736,-0.024746174,-0.24504545,-0.0061658607,-0.0636078,-0.005966062,0.007478281,0.002145952,-0.14320952,-0.022456309,0.0068136356,0.027656518,-0.015740488,0.019645816,-0.032201987,-0.023849385,0.026686205,-0.0017879071,0.019971201,-0.047446366,-0.0010929408,-0.04345214,-0.031791996,-0.03629703,-0.039370388,-0.030719135,0.039416216,0.013366966,0.0037918182,-0.1546356,0.014834657,-0.06860153,-0.038865954,-0.0011293865,-0.058624428,-0.051718,0.0021316828,-0.06560608,-0.027555684,-0.006916486,-0.030139621,-0.006993258,-0.036384605,-0.0018092712,0.002511275,-0.014114503,0.0,-0.04761696,-0.16624707,-0.017944615,0.13323678,-0.04330246,-0.003471898,0.04700178,0.06772769,0.017261943,0.008127769,-0.03084144,0.03490657,-0.04581463,0.005633104,0.009907176,-0.022207757,-0.0024748305,-0.07668435,0.0040939827,0.014412352,0.06715183,-0.01799097,0.01011869,0.00041026578,-0.012018368,-0.037275624,0.0013243678,0.012738057,0.007748278,-0.06185392,0.03218906,-0.031421483,-0.081000276,-0.0756901,-0.05756328,0.001897252,-0.09352453,0.0030144437,0.019773057,-0.016750999,-0.09911142,-0.018696863,0.012029734,0.0439626,-0.00853195,-0.03146666,-0.045254067,-0.015761223,0.0057073976,-0.00244564,-0.011439986,-0.048184298,-0.027192233,-0.019105876,-0.0020295589,-0.04320774,-0.03311785,-0.03326629,-0.02677276,-0.0064388425,-0.0010759883,0.064206816,-0.009655497,-0.002145385,-0.008828644,-0.017427206,0.021229094,0.007745631,0.020442378,-0.025876088,-0.0054239677,0.022784455,0.003021866,-0.034557484,-0.0028219083,-0.007569822,-0.038323328,0.02777624,-0.1409669,-0.030589385,0.006980537,-0.0030050522,-0.027361529,-0.1046351,-0.018653804,-0.017574597,0.016257027,-0.00647346,-0.033556867,-0.020247325,-0.034186304,-0.077084646,0.016704164,-0.029105539,0.0031177914,-0.010739087,-0.008805039,0.03715728,-0.03275975,-0.053869944,-0.023679456,-0.01531873,0.01116351,-0.2271506,-0.000880866,-0.06638726,-0.18585949,0.074715786,-0.025749791,-0.021838965,0.2292006,-0.0055300393,-0.00472603,-0.034899797,0.12552662,-0.012385565,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.037275624,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.21507837
6,-0.0041931984,-0.006175383,-0.04480488,-0.0031890606,-0.06899991,-0.017420288,0.1275415,-0.23312156,-0.08287479,0.12044653,-0.053237557,-0.061003592,-0.022003468,-0.10211244,-0.19999963,0.0013444491,-0.043888047,0.043230616,0.025811126,-0.015219636,-0.051032104,-0.035575584,0.018482283,0.06189348,0.0,0.05369482,-0.12529516,0.012391841,0.12642157,-0.055876654,-0.03353908,-0.039357197,-0.2588301,0.03570069,-0.054450076,0.16317768,-0.024961997,-0.022497257,-0.22948982,-0.017160831,-0.0030442732,0.027656518,0.0780191,-0.09267769,0.09437014,-0.060051758,0.04903982,-0.0113281645,-0.02326532,0.009734186,-0.024021653,0.09718909,0.02621977,-0.010918635,0.09260565,-0.04831402,0.01720457,0.00885934,0.066740744,-0.014046726,-0.0113743795,-0.11829357,-0.02396119,-0.009036107,-0.00032895588,-0.029786676,-0.000541853,-0.06827666,-0.0107623525,-0.065396085,-0.018061565,0.034837835,-0.060713165,-0.12450749,-0.08958082,0.089743026,-0.023875872,0.043288883,-0.18063891,0.021860717,0.14265665,0.03493023,-0.0022992145,0.082247235,0.006784279,0.029250512,0.035821464,0.001245636,0.01826743,0.0939887,-0.013057014,0.01577021,-0.02720577,-0.0690386,-0.06435988,-0.08149583,0.030841194,-0.002630185,0.10222458,-0.003071985,0.0027160284,0.027045969,-0.014592758,0.021384582,-0.005110332,-0.0041321884,0.05340458,0.056728043,0.06889607,0.01190232,0.04240559,-0.0653729,-0.04690127,0.06311299,-0.02762091,-0.01987819,-0.07429078,-0.07111294,0.08440771,0.0138727855,-0.037872,-0.030977234,0.009226418,-0.05434312,-0.023162114,-0.027714683,-0.039855756,0.019271154,0.088227086,0.0098615205,-0.024162898,0.018416204,0.03853471,-0.015973339,0.008416955,-0.003906093,0.0039337217,-0.012188473,0.10959488,0.0012318399,-0.030949812,0.025481874,0.038029924,0.023097064,-0.010809062,0.055731397,0.14256456,-0.027184572,0.027974661,0.10397225,-0.1061645,-0.006592293,0.0059603765,-0.015290089,0.053971242,-0.16096883,-0.030589385,-0.10006471,-0.041742288,0.054615185,0.08016333,-0.014503678,0.024454504,-0.030818226,-0.022807641,0.008003089,-0.009258322,0.08292363,-0.09665247,0.0025095355,-0.044201724,0.02705451,0.087733276,-0.027931362,0.12771882,-0.034434,0.0015028481,0.0027539795,-0.012905973,0.004322384,-0.3254782,0.03493023,-0.09161303,-0.20950812,0.02085102,0.0950759,0.035220385,0.117970146,-0.07980524,-0.066638835,0.016967325,0.01850267,-0.0059210705,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.030949812,0.0,0.0,0.007314059
